Sr No.,State,NH-No.,Toll Plaza Name,Toll Plaza Location,Section / Stretch,TollPlazaID
101,Bihar,30,Deederganj,Km 194.00,Patna - Bakhtiyarpur,415
102,Bihar,NH 122 (OLD NH 28),Govindpur (Murli),Km 602.200,Km. 576.600 to Km 627.163,488
103,Bihar,57,Hariabara,Km 244.860,Forbesganj - Purnea,283
104,Bihar,327 E,Jeerangachh,At Km 22.410,Galgaliya to Harwa Chowk,6804
105,Bihar,NH 20,Karigawan Toll Plaza,Karigawan,Rajauli to Bhakhtiyarpur(Pkg II),6661
106,Bihar,NH 327E,Khaikhat,At. Km 39.500,Galgaliya to Rahman Chauk,5707
107,Bihar,31,Kharik,Km 333.150,Khagaria - Purnea (Km 270.000 - Km 410.000),285
108,Bihar,NH 922,Kulhariya Toll Plaza,Vill Kulhariya P.S Koilwar DistBhojpur,Koilwar Bhojpur section from design kilometer 33.250 to kilometer 77.100 (existing Km 137.375 of NH 30 to Km 27.370 of NH 84),6671
109,Bihar,28,Mahanth Maniyari,Km 534.669,Muzaffarpur - Barsoni (km 519.600 - km 627.000),487
110,Bihar,57,Maithi,Km 26.200,Muzaffarpur - Darbhanga - Purnea,125
111,Bihar,333B,Malhipur Toll Plaza,Khagaria,Construction of Approach Road to Railcum Road Bridge across river Ganga at Munger Ghat ( NH333 B),6819
112,Bihar,31,Maranga,Km 397.885,Khagaria - Purnea (Km 270.000 - Km 410.000),286
113,Bihar,2,Mohania,Km 860.000,Varanasi - Aurangabad,41
114,Bihar,28,Parsoni Khem,Km 468.700,Kotwa - Mehsi - Muzaffarpur (Km 440.000 - Km 520.000),123
115,Bihar,Chhapra Rewaghat Muzaffarpur,Pokhraira,54.35,Chhapra Rewaghat Muzaffarpur,4584
116,Bihar,57,Raje(Old Naraur),Km 88.000,Darbhanga - Kosi Bund,204
117,Bihar,131 A,Routara,At Km 42.180,Narenpur Purnea,6803
118,Bihar,NH 22 (OLD NH 77),Runni saidpur,Km 28.890,Muzzaffarpur Sonbarsa (Km 2.800 Km 85.497),442
119,Bihar,77,Saidpur Patedha,Km 12.687,Hajipur - Muzaffarpur,471
120,Bihar,2,Sasaram,Km 907.100,Varanasi - Aurangabad,43
121,Bihar,19,Saukala,Km 200.100,Aurangabad - Barachatti(Km 180.00 to Km 240.00),238
122,Bihar,31,Shahpur,232.600,Four Laning of SimariaKhagaria Section of NH31 from Km. 206.050 to Km. 266.282 (Design Chainage) and (Existing Chainage Km. 209.945 to Km. 270.000 of NH31) in the State of Bihar on EPC Mode,6665
