place_id,name,formatted_address,latitude,longitude
ChIJPekmzlPDrzsRKCZEWg4cLPg,Zeon Charging Station,"Paakashala @ Yediyur Koppa, Bangalore - Mangalore Hwy, NH75, Kunigal",12.9905868,76.8820166
ChIJt24hWYLPrzsRt3JMPl7_slo,Electric Vehicle Charging Station,"SH 33, Girigowdana palya gate, taluk, near shivaganga tea stall, Kunigal, Tumakuru",12.9784593,77.02480729999999
ChIJo1fB3u8vsDsRC2F6b1Jj4IE,Electric Vehicle Charging Station,"3rd Cross Rd, opp. ESSRA, Nazarabad, Tumakuru",13.3324125,77.0935502
ChIJYdR_0msssDsR3uK9XhlJgq4,Ather Grid Charging Station,"84GJ+76F Hotel GSR, 5th Main Rd, opposite APMC Yard, Mahalakshmi Nagar, Chandana Complex, Tumakuru",13.32569,77.13055
ChIJDTD_DAequjsReX1wEOcVH84,Ather Grid Charging Station,"Ather Space, Vidya Nagar, Tiptur",13.262623,76.45469
ChIJi8obOo2gujsRYwI7Ntil6Kc,Blink Charging Station,"#123, Block 4, 50 Feet Road, Indira Nagar, Bangalore, 12345",13.4859244,76.4339554
ChIJw5k2geMxsDsR9ALVS2QeIt4,Electric Vehicle Charging Station,"NH 48, near gadige, Kora, Bommanahalli, Tumkur",13.4491885,77.0548297
ChIJ7_987hrDrzsRk7lcmFvuq48,Ather Grid Charging Station,"XVRJ+6RJ, Bangalore - Mangalore Hwy, NH75, Koppa, Kunigal",12.9905921,76.88201839999999
ChIJ2zmqagBdsDsR22fCjAw7pCQ,Zeon Charging Station,"QV3J+HXQ, Service Rd, Keshav Nagar, Sira",13.754438,76.88267200000001
ChIJbR59-Ls-rjsRm0qSc192rL4,ElectricPe Charging Station,"F5VF+HXJ, Jnana Bharti Layout II Block, 1st stage, Jnana Ganga Nagar, Bengaluru, Baraka",13.4939735,77.1748858
ChIJ7xklYkcssDsRzREBnnOJi7Y,BESCOM Charging Station,"84PG+97F, Jayanagar East Shettihalli Main Road, 7th Cross Rd, Dasappa Garden, Tumakuru",13.3359408,77.12568139999999
ChIJUV1tOkVZpTsRS4kB7M8KP88,Ather Grid Charging Station,"No 149/3, SH17, opp. Reliance Petrol Bunk, Channarayapatna",12.9188191,76.37611
ChIJkZxqTRMvsDsRHCjVaVtEpSY,Tata Power Charging Station,"1, Bangalore - Honnavar Hwy, next to Hemavthi channel, Bheemasandra, Tumakuru",13.3452847,77.08027849999999
ChIJb5QL75PprzsR2aa9z_PToag,Tata Power Charging Station,"179, Bandadka - Bengaluru Rd, next to kalinga residency, Hatna",12.9749245,76.8255715
